"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"5d59dd84-724d-494a-9fd3-1c522cf3f625","682607","LightSensor 1","11/14/2022 6:19 PM","9.92","9.92 lux","100","9.92|True|0","0","964010","False","100","3.06"
"6aea967c-37aa-4247-8406-3aa051d63114","682607","LightSensor 1","11/14/2022 5:49 PM","10.37","10.37 lux","100","10.37|True|0","0","964010","False","100","3.06"
"79068ed0-544c-4024-b615-e3239cd1d0ba","682607","LightSensor 1","11/14/2022 5:19 PM","10.36","10.36 lux","100","10.36|True|0","0","964010","False","100","3.06"
"0159755e-934d-4088-bc32-43863b173946","682607","LightSensor 1","11/14/2022 4:49 PM","10.86","10.86 lux","100","10.86|True|0","0","964010","False","100","3.06"
"386c66fa-320f-46ad-ac56-f2e14787db2d","682607","LightSensor 1","11/14/2022 4:19 PM","14.5","14.5 lux","100","14.5|True|0","0","964010","False","100","3.06"
"a7bd63ea-fbdc-4f6c-b43d-9dbff29fec67","682607","LightSensor 1","11/14/2022 3:49 PM","49.5","49.5 lux","100","49.5|True|0","0","964010","False","100","3.06"
"9653035c-fe67-4bb4-8703-560cb39ed8b9","682607","LightSensor 1","11/14/2022 3:19 PM","154.36","154.36 lux","100","154.36|True|0","0","964010","False","100","3.06"
"1620f59e-4056-4d15-a431-33476d8a860e","682607","LightSensor 1","11/14/2022 2:49 PM","110.64","110.64 lux","100","110.64|True|0","0","964010","False","100","3.06"
"1e8485fc-e9d1-41ca-9cee-3b085d7aa094","682607","LightSensor 1","11/14/2022 2:19 PM","343.68","343.68 lux","100","343.68|True|0","0","964010","False","100","3.06"
"10ec6ea8-1a0e-497b-a7e9-270bc2d470a7","682607","LightSensor 1","11/14/2022 1:49 PM","459.68","459.68 lux","100","459.68|True|0","0","964010","False","100","3.06"
"96a21bbc-2989-4658-984a-61be6a0884cb","682607","LightSensor 1","11/14/2022 1:19 PM","584.32","584.32 lux","100","584.32|True|0","0","964010","False","100","3.06"
"4c7fed9b-c01d-4fc3-8f75-f727a95d6d21","682607","LightSensor 1","11/14/2022 12:49 PM","749.44","749.44 lux","100","749.44|True|0","0","964010","False","100","3.06"
"b7040dea-d29c-4283-84ff-e5e95c911210","682607","LightSensor 1","11/14/2022 12:19 PM","669.12","669.12 lux","100","669.12|True|0","0","964010","False","100","3.06"
"e498ebc8-3aaf-4e5e-ba21-69dd84e9dd91","682607","LightSensor 1","11/14/2022 11:49 AM","1223.04","1223.04 lux","100","1223.04|True|0","0","964010","False","100","3.06"
"7889ece1-bb4d-4b33-b22f-2d130b976d95","682607","LightSensor 1","11/14/2022 11:19 AM","639.2","639.2 lux","100","639.2|True|0","0","964010","False","100","3.06"
"f0a9b6f7-185d-4067-b63a-4578b391f0a3","682607","LightSensor 1","11/14/2022 10:49 AM","17.42","17.42 lux","100","17.42|True|0","0","964010","False","100","3.06"
"b03d5b73-d709-4eba-8223-026438779170","682607","LightSensor 1","11/14/2022 10:19 AM","16.16","16.16 lux","100","16.16|True|0","0","964010","False","100","3.05"
"475d33b3-ada9-43de-aea2-07f0bf4b3b2f","682607","LightSensor 1","11/14/2022 9:49 AM","15.63","15.63 lux","100","15.63|True|0","0","964010","False","100","3.04"
"b033046c-4928-4fa5-a0d2-bf47518b5802","682607","LightSensor 1","11/14/2022 9:49 AM","14.01","14.01 lux","100","14.01|True|0","0","964010","False","100","3.06"
"fb9febbf-10eb-4385-b79a-b85e37e9b1a4","682607","LightSensor 1","11/14/2022 7:49 AM","137.04","137.04 lux","100","137.04|True|0","0","964010","False","100","3.06"
"661f5e03-dbb4-4e06-9f61-345fb1c489da","682607","LightSensor 1","11/14/2022 5:49 AM","0.21","0.21 lux","100","0.21|True|0","0","964010","False","100","3.06"
"7e859614-7001-474b-8764-802099444089","682607","LightSensor 1","11/14/2022 3:49 AM","0.17","0.17 lux","100","0.17|True|0","0","964010","False","100","3.06"
"4ca22860-b404-4e95-9490-b4ab115fbafe","682607","LightSensor 1","11/14/2022 1:49 AM","0.47","0.47 lux","100","0.47|True|0","0","964010","False","100","3.06"
