"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"1aa443c1-06d6-41f2-9c9f-a80da1dc3fc9","687589","CO2 Meter - 1","11/17/2022 5:39 PM","59","CO2 Instantaneous: 59 ppm; CO2 TWA: 346 ppm","100","59|346|0|48424","0","964010","False","100","3.12"
"a463b0a0-af91-4b32-8100-0a2641938fc4","687589","CO2 Meter - 1","11/17/2022 5:24 PM","141","CO2 Instantaneous: 141 ppm; CO2 TWA: 184 ppm","100","141|184|0|48424","0","964010","False","100","3.12"
"783896f9-1a26-4248-abc6-248c6e970e4a","687589","CO2 Meter - 1","11/17/2022 5:09 PM","239","CO2 Instantaneous: 239 ppm; CO2 TWA: 185 ppm","100","239|185|0|48424","0","964010","False","100","3.12"
"2a04d760-4ada-4e2c-9b46-abd13512ea8d","687589","CO2 Meter - 1","11/17/2022 4:54 PM","366","CO2 Instantaneous: 366 ppm; CO2 TWA: 183 ppm","100","366|183|0|48424","0","964010","False","100","3.12"
"b4e73c6c-7c53-4e77-b62f-560ce6f04cd0","687589","CO2 Meter - 1","11/17/2022 4:39 PM","346","CO2 Instantaneous: 346 ppm; CO2 TWA: 181 ppm","100","346|181|0|48424","0","964010","False","100","3.12"
"9d17a3b8-60b6-4442-a65b-c76c70cd103f","687589","CO2 Meter - 1","11/17/2022 4:24 PM","320","CO2 Instantaneous: 320 ppm; CO2 TWA: 177 ppm","100","320|177|0|48424","0","964010","False","100","3.12"
"a287cf37-5672-4344-8d08-1d0331671ed7","687589","CO2 Meter - 1","11/17/2022 4:09 PM","389","CO2 Instantaneous: 389 ppm; CO2 TWA: 175 ppm","100","389|175|0|48424","0","964010","False","100","3.11"
"e4ea5b97-1220-4840-a9e7-7c1bf54eff2b","687589","CO2 Meter - 1","11/17/2022 3:54 PM","396","CO2 Instantaneous: 396 ppm; CO2 TWA: 170 ppm","100","396|170|0|48424","0","964010","False","100","3.12"
"6a12f9a9-13ee-43f2-b3aa-f464361d55ea","687589","CO2 Meter - 1","11/17/2022 3:39 PM","408","CO2 Instantaneous: 408 ppm; CO2 TWA: 167 ppm","100","408|167|0|48424","0","964010","False","100","3.12"
"50136908-6062-440c-a167-b20d0f5c3786","687589","CO2 Meter - 1","11/17/2022 3:24 PM","406","CO2 Instantaneous: 406 ppm; CO2 TWA: 160 ppm","100","406|160|0|48424","0","964010","False","100","3.12"
"205c7451-fddd-4220-bde1-7e9cc08caa8a","687589","CO2 Meter - 1","11/17/2022 3:09 PM","460","CO2 Instantaneous: 460 ppm; CO2 TWA: 157 ppm","100","460|157|0|48424","0","964010","False","100","3.12"
"359e5752-110a-4e33-ba13-7aa54c29a0fe","687589","CO2 Meter - 1","11/17/2022 2:54 PM","405","CO2 Instantaneous: 405 ppm; CO2 TWA: 149 ppm","100","405|149|0|48424","0","964010","False","100","3.12"
"0f120d88-b638-472e-988f-647fc73b8935","687589","CO2 Meter - 1","11/17/2022 2:39 PM","408","CO2 Instantaneous: 408 ppm; CO2 TWA: 146 ppm","100","408|146|0|48424","0","964010","False","100","3.12"
"1590076b-5533-4e1d-802e-f2c3f9376105","687589","CO2 Meter - 1","11/17/2022 2:24 PM","423","CO2 Instantaneous: 423 ppm; CO2 TWA: 139 ppm","100","423|139|0|48424","0","964010","False","100","3.12"
"a9b5c1ff-4591-4cc1-8341-098e154227b2","687589","CO2 Meter - 1","11/17/2022 2:09 PM","442","CO2 Instantaneous: 442 ppm; CO2 TWA: 135 ppm","100","442|135|0|48424","0","964010","False","100","3.12"
"fa736865-7aff-475c-a955-dbc079d52611","687589","CO2 Meter - 1","11/17/2022 1:54 PM","261","CO2 Instantaneous: 261 ppm; CO2 TWA: 127 ppm","100","261|127|0|48424","0","964010","False","100","3.12"
"1b01cb11-5cd1-4be5-a4e4-b831aa8717ec","687589","CO2 Meter - 1","11/17/2022 1:39 PM","268","CO2 Instantaneous: 268 ppm; CO2 TWA: 125 ppm","100","268|125|0|48424","0","964010","False","100","3.12"
"a3ae6d33-f691-43fb-a52e-c64cd83a0ded","687589","CO2 Meter - 1","11/17/2022 1:24 PM","328","CO2 Instantaneous: 328 ppm; CO2 TWA: 121 ppm","100","328|121|0|48424","0","964010","False","100","3.12"
"d2f0f341-b1f9-471e-b673-ad71804b2483","687589","CO2 Meter - 1","11/17/2022 1:09 PM","412","CO2 Instantaneous: 412 ppm; CO2 TWA: 118 ppm","100","412|118|0|48424","0","964010","False","100","3.12"
"b29cdc41-5a49-4cbd-b526-aba0dc1bda75","687589","CO2 Meter - 1","11/17/2022 12:54 PM","486","CO2 Instantaneous: 486 ppm; CO2 TWA: 107 ppm","100","486|107|0|48424","0","964010","False","100","3.12"
"5fe70d0d-3041-4b4f-b15e-a706dbac0184","687589","CO2 Meter - 1","11/17/2022 12:39 PM","463","CO2 Instantaneous: 463 ppm; CO2 TWA: 101 ppm","100","463|101|0|48424","0","964010","False","100","3.12"
"5f36abfc-6c7f-474a-b2cb-3162ad0b2fac","687589","CO2 Meter - 1","11/17/2022 12:24 PM","420","CO2 Instantaneous: 420 ppm; CO2 TWA: 90 ppm","100","420|90|0|48424","0","964010","False","100","3.12"
"6a1e0e30-9afd-4d56-afbf-fc55a63bb440","687589","CO2 Meter - 1","11/17/2022 12:09 PM","399","CO2 Instantaneous: 399 ppm; CO2 TWA: 84 ppm","100","399|84|0|48424","0","964010","False","100","3.12"
"409bd1e4-8514-488f-9afa-bb7107492cf3","687589","CO2 Meter - 1","11/17/2022 11:54 AM","320","CO2 Instantaneous: 320 ppm; CO2 TWA: 75 ppm","100","320|75|0|48424","0","964010","False","100","3.12"
